Transaction,Item,date_time,period_day,weekday_weekend,date,time,hour,day_name,month
1,Bread,2016-10-30 09:58:00,morning,weekend,2016-10-30,09:58:00,9,Sunday,October
2,Scandinavian,2016-10-30 10:05:00,morning,weekend,2016-10-30,10:05:00,10,Sunday,October
2,Scandinavian,2016-10-30 10:05:00,morning,weekend,2016-10-30,10:05:00,10,Sunday,October
3,Hot chocolate,2016-10-30 10:07:00,morning,weekend,2016-10-30,10:07:00,10,Sunday,October
3,Jam,2016-10-30 10:07:00,morning,weekend,2016-10-30,10:07:00,10,Sunday,October
3,Cookies,2016-10-30 10:07:00,morning,weekend,2016-10-30,10:07:00,10,Sunday,October
4,Muffin,2016-10-30 10:08:00,morning,weekend,2016-10-30,10:08:00,10,Sunday,October
5,Coffee,2016-10-30 10:13:00,morning,weekend,2016-10-30,10:13:00,10,Sunday,October
5,Pastry,2016-10-30 10:13:00,morning,weekend,2016-10-30,10:13:00,10,Sunday,October
5,Bread,2016-10-30 10:13:00,morning,weekend,2016-10-30,10:13:00,10,Sunday,October
6,Medialuna,2016-10-30 10:16:00,morning,weekend,2016-10-30,10:16:00,10,Sunday,October
6,Pastry,2016-10-30 10:16:00,morning,weekend,2016-10-30,10:16:00,10,Sunday,October
6,Muffin,2016-10-30 10:16:00,morning,weekend,2016-10-30,10:16:00,10,Sunday,October
7,Medialuna,2016-10-30 10:19:00,morning,weekend,2016-10-30,10:19:00,10,Sunday,October
7,Pastry,2016-10-30 10:19:00,morning,weekend,2016-10-30,10:19:00,10,Sunday,October
7,Coffee,2016-10-30 10:19:00,morning,weekend,2016-10-30,10:19:00,10,Sunday,October
7,Tea,2016-10-30 10:19:00,morning,weekend,2016-10-30,10:19:00,10,Sunday,October
8,Pastry,2016-10-30 10:20:00,morning,weekend,2016-10-30,10:20:00,10,Sunday,October
8,Bread,2016-10-30 10:20:00,morning,weekend,2016-10-30,10:20:00,10,Sunday,October
9,Bread,2016-10-30 10:21:00,morning,weekend,2016-10-30,10:21:00,10,Sunday,October
9,Muffin,2016-10-30 10:21:00,morning,weekend,2016-10-30,10:21:00,10,Sunday,October
